source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_319930.1,Smp_049230.1,0.955631962919711,0.955631962919711,positive,positive,0.955631962919711,positive
Smp_319930.1,Smp_335110.1,0.9955266132420052,0.9955266132420052,positive,positive,0.9955266132420052,positive
Smp_319930.1,Smp_211020.2,0.989942304779871,0.989942304779871,positive,positive,0.989942304779871,positive
Smp_319930.1,Smp_150230.2,0.9797666462457992,0.9797666462457992,positive,positive,0.9797666462457992,positive
Smp_319930.1,Smp_335670.1,-0.9517264983844332,0.9517264983844332,negative,negative,0.9517264983844332,negative
Smp_319930.1,Smp_212300.1,0.9522886877270148,0.9522886877270148,positive,positive,0.9522886877270148,positive
Smp_319930.1,Smp_161110.5,0.9713855484966736,0.9713855484966736,positive,positive,0.9713855484966736,positive
Smp_319930.1,Smp_335660.2,0.9983856855971144,0.9983856855971144,positive,positive,0.9983856855971144,positive
Smp_319930.1,Smp_318280.1,0.9707772770998976,0.9707772770998976,positive,positive,0.9707772770998976,positive
Smp_319930.1,Smp_025360.1,0.9605127394762376,0.9605127394762376,positive,positive,0.9605127394762376,positive
Smp_319930.1,Smp_332550.1,0.9724883833970732,0.9724883833970732,positive,positive,0.9724883833970732,positive
Smp_319930.1,Smp_332550.2,-0.961683980313053,0.961683980313053,negative,negative,0.961683980313053,negative
Smp_319930.1,Smp_213320.1,0.9581054170320472,0.9581054170320472,positive,positive,0.9581054170320472,positive
Smp_319930.1,Smp_328620.1,-0.9627127873799032,0.9627127873799032,negative,negative,0.9627127873799032,negative
Smp_319930.1,Smp_318210.1,-0.9990205557299836,0.9990205557299836,negative,negative,0.9990205557299836,negative
Smp_319930.1,Smp_057620.2,0.958427192036586,0.958427192036586,positive,positive,0.958427192036586,positive
Smp_319930.1,Smp_018250.1,0.9947257481905049,0.9947257481905049,positive,positive,0.9947257481905049,positive
Smp_319930.1,Smp_337100.5,0.998800272165829,0.998800272165829,positive,positive,0.998800272165829,positive
Smp_204420.1,Smp_330170.1,0.9738478867655364,0.9738478867655364,positive,positive,0.9738478867655364,positive
Smp_204420.1,Smp_156910.2,0.9792576627528464,0.9792576627528464,positive,positive,0.9792576627528464,positive
Smp_204420.1,Smp_326770.2,-0.9624201933858092,0.9624201933858092,negative,negative,0.9624201933858092,negative
Smp_204420.1,Smp_348790.2,0.9812952810547928,0.9812952810547928,positive,positive,0.9812952810547928,positive
Smp_204420.1,Smp_017470.2,0.9899732602629814,0.9899732602629814,positive,positive,0.9899732602629814,positive
Smp_204420.1,Smp_318100.1,-0.97560541004654,0.97560541004654,negative,negative,0.97560541004654,negative
Smp_204420.1,Smp_327370.1,-0.9841221220473388,0.9841221220473388,negative,negative,0.9841221220473388,negative
Smp_204420.1,Smp_060620.1,-0.9579073014863334,0.9579073014863334,negative,negative,0.9579073014863334,negative
Smp_204420.1,Smp_164270.1,0.9948427771429356,0.9948427771429356,positive,positive,0.9948427771429356,positive
Smp_204420.1,Smp_150230.1,0.9523307616079396,0.9523307616079396,positive,positive,0.9523307616079396,positive
Smp_204420.1,Smp_347490.1,-0.9578972277401532,0.9578972277401532,negative,negative,0.9578972277401532,negative
Smp_204420.1,Smp_106010.1,0.9966557541999764,0.9966557541999764,positive,positive,0.9966557541999764,positive
Smp_204420.1,Smp_322760.1,0.9701533751731096,0.9701533751731096,positive,positive,0.9701533751731096,positive
Smp_204420.1,Smp_019690.2,-0.9791748809419332,0.9791748809419332,negative,negative,0.9791748809419332,negative
Smp_204420.1,Smp_131680.2,0.9960929656912172,0.9960929656912172,positive,positive,0.9960929656912172,positive
Smp_204420.1,Smp_130470.2,0.9884456664436267,0.9884456664436267,positive,positive,0.9884456664436267,positive
Smp_204420.1,Smp_032670.1,-0.9885660711721797,0.9885660711721797,negative,negative,0.9885660711721797,negative
Smp_204420.1,Smp_043500.2,-0.9783425529258616,0.9783425529258616,negative,negative,0.9783425529258616,negative
Smp_204420.1,Smp_000790.2,0.9766445619295276,0.9766445619295276,positive,positive,0.9766445619295276,positive
Smp_204420.1,Smp_082410.1,-0.990611465743277,0.990611465743277,negative,negative,0.990611465743277,negative
Smp_204420.1,Smp_244890.1,0.95441454824784,0.95441454824784,positive,positive,0.95441454824784,positive
Smp_204420.1,Smp_000790.1,-0.986157392550485,0.986157392550485,negative,negative,0.986157392550485,negative
Smp_204420.1,Smp_347560.1,0.9762295980707127,0.9762295980707127,positive,positive,0.9762295980707127,positive
Smp_204420.1,Smp_130520.4,0.9927704921906136,0.9927704921906136,positive,positive,0.9927704921906136,positive
Smp_204420.1,Smp_304890.2,0.956178294312834,0.956178294312834,positive,positive,0.956178294312834,positive
Smp_204420.1,Smp_317240.1,0.9997671417260424,0.9997671417260424,positive,positive,0.9997671417260424,positive
Smp_204420.1,Smp_340300.2,-0.9927198302694508,0.9927198302694508,negative,negative,0.9927198302694508,negative
